"Parameter","Description","Instrument Count","List of Instruments"
"2D deformation: Roundness -1..1, Stretch -2..2, Skew -2..2","Applies roundness, stretch, and skew deformations to the 2D shape.","1","Shapes"
"3D representation: Solid select","Chooses which 3D solid form (cube, sphere, torus, etc.) represents the shape.","1","Shapes"
"4D representation: Hyper-form select","Chooses which 4D hyper-solid form represents the shape.","1","Shapes"
"per-axis rotation cards","Provides per-axis controls for rotation angle and auto-rotation speed.","1","Shapes"
"Voice mapping: Base frequency 20-440Hz step1 default110, Pitch range 0-7oct step.1 default3, Character 0-1 step.01 default.35, Stereo spread 0-1 step.01 default.85","Maps the shape's data to pitch, range, timbral character, and stereo spread of the synthesized voice.","1","Shapes"
"Percussion mapping","Maps geometric features of the shape to percussion hit parameters like timbre and hit rate.","1","Shapes"
"Reset-all button. Canvas interaction: in 2D, drag on/inside the shape moves the reader, drag outside rotates it","Resets all parameters, and lets dragging on the canvas move or rotate the reader/shape.","1","Shapes"
"Left/Right arrows move the reader. Output-details disclosure","Uses arrow keys to move the reader and reveals a read-only panel of output routing details.","1","Shapes"
"Master level slider 0-1 step.01 default.58","Sets the overall master output volume.","1","L-Systems"
"Audio on/off button. Playing-mode tab group: Continuous/Notes/Triggers/Mic. Transport rack: Play/pause button","Toggles sound output, selects how notes are triggered, and starts/stops playback.","1","L-Systems"
"Traversal direction toggle","Flips whether the reader moves forward or backward through the structure.","1","L-Systems"
"Loop motion toggle","Makes the reader wrap around and repeat instead of stopping at the end.","1","L-Systems"
"Ping-pong motion toggle","Makes the reader bounce back and forth between the start and end instead of looping.","1","L-Systems"
"Reader position slider 0-1 step.0005 default0","Manually scrubs the playback reader's position along the structure.","1","L-Systems"
"Speed slider 0-3 step.01 default.3 cyc/s. L-system rack: Preset select","Sets how fast the reader traverses the structure, in cycles per second, and offers grammar presets.","1","L-Systems"
"Iterations slider 0-11 step1 default7","Sets how many times the L-system generation rule is recursively applied.","1","L-Systems"
"Branch angle slider 0-150deg step.1 default45","Sets the turning angle used when the L-system draws each branch.","1","L-Systems"
"Length scale slider .2-1.2 step.01 default.72","Scales the length of each drawn segment/branch in the structure.","1","L-Systems"
"Turn asymmetry slider -.8..8 step.01 default0","Biases left vs right turns to make the generated shape more asymmetric.","1","L-Systems"
"read-only Axiom/Rules grammar display","Displays the L-system's starting axiom and rewrite rules for reference.","1","L-Systems"
"Reset system button. Structure rack: Playback structure select","Regenerates the structure and lets you choose which structural layer is played back.","1","L-Systems"
"Voice engine select","Chooses the synthesis method (e.g. Sine/FM/PM/Shepard) used to generate sound.","1","L-Systems"
"Depth drive slider 0-1 step.01 default.65","Controls how strongly branch depth influences the sound.","1","L-Systems"
"Mod index slider 0-12 step.1 default3","Sets the FM/PM modulation index, controlling harmonic richness of the tone.","1","L-Systems"
"Stereo spread slider 0-1 step.01 default.9","Controls how widely voices are spread across the stereo field.","1","L-Systems"
"dynamically injected Amplitude control","Adjusts the overall loudness of the generated sound.","1","L-Systems"
"read-only polyphony readout. Triggers","Displays how many voices are currently sounding at once.","1","L-Systems"
"Mapping select","Chooses which data source maps to which sound parameter.","1","L-Systems"
"Style select","Chooses a visual or sonic rendering style preset.","1","L-Systems"
"Y tuning slider 0-36 semitones step1 default12","Sets how vertical position is transposed into pitch, in semitones.","1","L-Systems"
"Angle tuning slider 0-36 semitones step1 default12","Sets how much turning angle is transposed into pitch, in semitones.","1","L-Systems"
"Angle range slider 15-180deg step1 default90","Sets the maximum angular range mapped to pitch or motion.","1","L-Systems"
"Character depth slider 0-1 step.01 default.72","Controls the intensity of a timbral ""character"" effect applied to the sound.","1","L-Systems"
"Feedback slider 0-.82 step.01 default.38","Controls how much signal is fed back into itself for resonance/echo effects.","1","L-Systems"
"Timing scale slider .25-4x step.01 default1","Scales the overall rhythmic timing faster or slower.","1","L-Systems"
"Depth ratio slider .2-2x step.01 default1","Scales how branch/structure depth maps to its sonic or visual effect.","1","L-Systems"
"Pitch bend slider 0-4oct step.1 default1.2","Sets the range, in octaves, over which pitch can bend.","1","L-Systems"
"Branch send slider 0-1 step.01 default.92","Sets how much signal from branch events is sent to an effect or mix bus.","1","L-Systems"
"live mic-voice readout. Mix rack: Mix preset select","Shows live microphone-triggered voice activity and offers mix presets.","1","L-Systems"
"per-mode level sliders 0-1.5 step.01 - Continuous default1, Notes default1, Triggers default.95, Mic default1.12. Status rack: read-only Mode/Traversal/System summary readouts","Sets independent volume levels per playing mode and displays current mode/traversal/system status.","1","L-Systems"
"MIDI-output-monitor dock populated by the shared nav.js MIDI toolbar. Canvas shows the animated traversal reader driven by the transport","Displays outgoing MIDI activity and animates the reader moving through the structure.","1","L-Systems"
"not separately click-draggable","Indicates this element cannot be dragged independently to change its value.","1","L-Systems"
"Mode switch","Switches between the instrument's operating modes, changing which controls and sound engine are active.","1","Tiles"
"Reader direction toggle","Flips the traversal reader between forward and reverse.","1","Tiles"
"Reader position slider","Manually scrubs the reader's position along the tiling pattern.","1","Tiles"
"Tile system select dropdown","Chooses which isohedral tiling pattern generates the structure.","1","Tiles"
"Prototile shape-modifier canvas","Lets you drag the tile's corner vertices to reshape the base prototile.","1","Tiles"
"dynamic parameter-controls grid","Shows numeric sliders specific to the currently selected tiling type.","1","Tiles"
"dynamic edge-controls grid","Adjusts the curve shape of each tile edge.","1","Tiles"
"Lattice bank - Line angle slider","Sets the angle of the lattice grid lines and overall pattern rotation.","1","Tiles"
"Spiral bank","Groups controls that shape the spiral reading path, turns, periods, zoom, and size coupling.","1","Tiles"
"Synth bank","Groups the pitch, voice, level, and stereo controls for the tonal synth engine.","1","Tiles"
"Drums bank","Groups the percussion mapping, pitch depth, character, and strike-limit controls for the drum engine.","1","Tiles"
"MIDI output monitor dock also displays outgoing MIDI note events","Shows a live log of MIDI notes being sent out.","1","Tiles"
"performance-mode group - Build/Trace/Tour buttons","Switches between building the maze, tracing a solution, or touring it as sound.","1","Algorithmic Mazes"
"Cell-topology buttons","Chooses the grid shape (orthogonal, radial, or hexagonal) the maze is built on.","1","Algorithmic Mazes"
"Generator/algorithm select","Chooses which maze-generation algorithm is used, each with its own timbral character.","1","Algorithmic Mazes"
"Scale slider","Sets the size of the maze grid.","1","Algorithmic Mazes"
"Loops slider","Controls how many extra walls are removed to create loops/braids in the maze.","1","Algorithmic Mazes"
"Replay button","Replays the current maze generation or traversal.","1","Algorithmic Mazes"
"Solve button","Finds and traces a solution path through the maze.","1","Algorithmic Mazes"
"view toggles - All walls checkbox, Route checkbox","Toggles visibility of maze walls and the solved route.","1","Algorithmic Mazes"
"Layer levels - Passage level slider","Sets the mix level of the passage layer, alongside a separate wall level.","1","Algorithmic Mazes"
"Trace polyphony disclosure with Passages head-count slider","Sets how many simultaneous sounding heads traverse the passages and walls.","1","Algorithmic Mazes"
"Mode buttons - Draw / Trace","Switches between drawing the path and replaying it with sounding heads.","1","Paths"
"Path-family select","Chooses which fractal/space-filling curve family generates the path.","1","Paths"
"Detail slider","Sets the grid resolution/detail level of the generated path.","1","Paths"
"Frame/aspect slider","Sets the aspect ratio of the drawing canvas.","1","Paths"
"Playhead position slider","Manually scrubs the playhead's position along the shape's contour.","1","Shape"
"Playhead speed slider","Sets how fast the playhead automatically moves along the contour.","1","Shape"
"Reading-method buttons - Points/Line/Radar","Chooses how the contour is sampled for sound: as points, a line, or radar sweep.","1","Shape"
"per-playhead spacing track with a draggable phase marker button and a forward/reverse toggle button for each of up to 12 playheads, plus an Equidistant reset button","Sets the phase offset and direction of each of up to 12 playheads, or resets them to even spacing.","1","Shape"
"Rotation play button","Starts automatic rotation of the shape.","1","Shape"
"Rotate-angle slider","Sets the current rotation angle of the shape.","1","Shape"
"Rotation-speed slider","Sets how fast the shape auto-rotates, with its own direction/loop/ping-pong controls.","1","Shape"
"Closed-shape-type buttons - Polygon/Star","Chooses whether the base contour is a regular polygon or a star.","1","Shape"
"Star-depth slider","Sets how deep the star points cut inward, shown only for star shapes.","1","Shape"
"Roundness/curvature slider","Sets how much the shape's edges curve versus stay straight.","1","Shape"
"Reset-form button","Resets the shape's form parameters to default.","1","Shape"
"Sound-mode select","Chooses the synthesis engine used to sonify the shape.","1","Shape"
"Percussion panel","Groups percussion controls: strike level, an ADSR envelope editor with presets, and attack noise amount.","1","Shape"
"Shepard panel - Path-distance/Turn-angle mapping buttons, Octaves-per-circuit slider","Configures how Shepard-tone glissandi map to path distance or turning, and how many octaves per loop.","1","Shape"
"FM panel - FM index slider","Sets FM synthesis modulation depth and modulator frequency ratio.","1","Shape"
"PM panel - Phase-depth slider","Sets phase-modulation depth and modulator frequency ratio.","1","Shape"
"Amplitude-envelope toggle button","Enables amplitude envelope shaping, plus a corner-triggered swell envelope editor.","1","Shape"
"Mapping section - Pitch-dimension buttons","Chooses which geometric dimension (vertical/horizontal/center distance) drives pitch, with a response curve editor.","1","Shape"
"Corner-ADSR-level-source select","Chooses which geometric feature drives the corner envelope's level.","1","Shape"
"FM-index/timbre-source select","Chooses which geometric feature drives the FM/PM modulation index.","1","Shape"
"Percussion-level-source select","Chooses which geometric feature drives percussion strike level and its response curve.","1","Shape"
"Stereo-dimension buttons","Chooses which geometric dimension pans sound across the stereo field, with a flip option.","1","Shape"
"Stereo-width slider","Sets how wide the stereo panning spread is.","1","Shape"
"Reset-all-parameters button. Canvas: drag the contour to spin it","Resets every parameter to default; dragging the shape on canvas spins or scrubs it.","1","Shape"
"Space toggles play/pause","Starts or stops playback using the spacebar.","1","Shape"
"Left/Right arrow moves by a fine step","Nudges the playhead position by a small increment using arrow keys.","1","Shape"
"Tool buttons - Draw / Select / Erase","Switches the pointer between drawing new marks, selecting a mark, or erasing marks.","1","Playhead Paint"
"Draw paints new sounding marks by drag, Select picks an existing mark for editing, Erase removes marks on contact)","Describes the drag behavior of each tool: painting, selecting, or erasing sound marks.","1","Playhead Paint"
"Sound-color palette","Chooses which oscillator/voice layer new drawn marks will use.","1","Playhead Paint"
"pointer interaction","Handles drawing, dragging, and finishing a sounding mark via pointer press/drag/release.","1","Playhead Paint"
"Playback-mode radio group - Original / Steady","Chooses whether marks replay their drawn timing or loop at a fixed steady rate.","1","Playhead Paint"
"Playback rate slider","Sets the speed multiplier for mark playback.","1","Playhead Paint"
"Mirror/symmetry axis toggle buttons - Horizontal / Vertical / Diagonal / Anti-diagonal","Adds mirrored, independently sounding playheads reflected across the chosen axis.","1","Playhead Paint"
"Waveform select","Chooses the oscillator waveform used per sound-color layer.","1","Playhead Paint"
"Pen-size slider","Sets the thickness of the brush used to draw new marks.","1","Playhead Paint"
"Coordinate-mode select","Chooses the coordinate system (Cartesian, polar, or radial spokes) used to read the canvas.","1","Playhead Paint"
"X-axis-target select, Y-axis-target select, Pen-size-target select","Chooses which sound parameter each canvas axis or brush pressure controls.","1","Playhead Paint"
"Radar-spokes slider","Sets the number of radial spokes shown in radar coordinate mode.","1","Playhead Paint"
"Pitch-floor slider","Sets the lowest and highest frequency bounds for pitch mapping.","1","Playhead Paint"
"Envelope sliders - Attack","Sets the attack, decay, sustain, and release times of the active layer's envelope.","1","Playhead Paint"
"Transform-target select","Chooses whether a transform applies to all marks or just the selected one.","1","Playhead Paint"
"Move-X slider","Translates, rotates, and scales the selected mark(s) on the canvas.","1","Playhead Paint"
